instrument,multiplier,carry,price,fx_rate,ann_std,rolls_per_year,SR_cost
6A,100000,"3,6,9,12",,,,,
6B,62500,"3,6,9,12",,,,,
6C,100000,"3,6,9,12",,,,,
6E,125000,"3,6,9,12",,,,,
6J,125000,"3,6,9,12",,,,,
6M,500000,"3,6,9,12",,,,,
6N,100000,"3,6,9,12",,,,,
6S,125000,"3,6,9,12",,,,,
AFB,20,"1,3,5,7",0.6412,1,0.10163,5,0.00036
AWM,20,"1,3,5,7",727.77,1,0.11778,5,0.00088
BAX,2500,"3,6,9,12",,,,,
BRN,1000,1-12,,,,,
BTC,5,,,,,,
CC,10,,115.72,1,0.04855,5,0.00089
CGB,1000,"3,6,9,12",,,,,
CL,1000,,,,,,
CT,500,,55.35,1,0.27751,5,0.00124
DC,2000,,0.19315,1,0.13017,5,0.00239
DX,1000,,,,,,
EMD,100,,,,,,
ES,5,,,,,,
ETH,50,,,,,,
EUA,1000,,,,,,
FBTP,1000,,,,,,
FCE,10,,,,,,
FDAX,25,,,,,,
FESX,10,,,,,,
FGBL,1000,,,,,,
FGBM,1000,,,,,,
FGBS,1000,,,,,,
FGBX,1000,,,,,,
FOAT,1000,,,,,,
FSMI,10,,,,,,
FTDX,10,,,,,,
GAS,100,,,,,,
GC,100,,,,,,
GD,250,,,,,,
GF,500,,0.73295,1,0.05911,5,0.00056
GWM,1000,,,,,,
HE,400,,104.789000,1,0.0424,5,0.00117
HG,250,,,,,,
HO,42000,,,,,,
HSI,50,,,,,,
HTW,100,,,,,,
KC,375,,73.575,1,0.34499,5,0.00097
KE,50,,0.05444,1,0.13367,5,0.00149
KOS,250000,,,,,,
LBS,110,,3.628,1,0.19711,5,0.00467
LCC,10,,1845.25,1,0.10102,5,0.0013
LE,400,,1163.1,1,0.32179,5,0.00005
LEU,2500,,,,,,
LFT,10,,,,,,
LLG,1000,,,,,,
LRC,10,,881.5,1,0.2398,5,0.00116
LSU,50,,21.723,1,0.26068,5,0.00021
LWB,100,,1266,1,0.1561,5,0.00029
M2K,5,,,,,,
MBT,0.1,,,,,,
MES,5,,,,,,
MET,0.1,,,,,,
MHI,10,,,,,,
MNQ,2,,,,,,
MWE,50,,372.1,1,0.21593,5,0.00108
MYM,0.5,,,,,,
NG,10000,,,,,,
NIY,500,,,,,,
NKD,5,,,,,,
NQ,2,,,,,,
OJ,150,,106.84400,1,0.06115,5,0.00022
PA,100,,,,,,
PL,50,,,,,,
RB,42000,,,,,,
RS,20,,110.46900,1,0.1523,5,0.00084
RTY,5,,,,,,
SB,1120,,15345,1,0.13319,5,0.00019
SCN,1,,,,,,
SI,50,,,,,,
SJB,100000,,,,,,
SNK,500,,,,,,
SR3,2500,,,,,,
SSG,100,,,,,,
SXF,200,,,,,,
TN,1000,,,,,,
UB,1000,,,,,,
VX,1000,,,,,,
WBS,1000,,,,,,
YAP,25,,,,,,
YG,32.15,,,,,,
YI,1000,,,,,,
YIB,8932,,,,,,
YIR,2400,,,,,,
YM,0.5,,,,,,
YXT,8000,,,,,,
YYT,2800,,,,,,
ZB,1000,,,,,,
ZC,50,,492,1,0.2304,5,0.00159
ZF,1000,,,,,,
ZL,600,,33600,1,0.12063,5,0.00018
ZM,100,,,,,,
ZN,1000,,,,,,
ZO,50,,,,,,
ZQ,4167,,,,,,
ZR,20,,,,,,
ZS,50,,,,,,
ZT,2000,,,,,,
ZW,50,,,,,,
